username,status,reason,source,country,followers,avg_views_10,engagement_rate,shop_signals,shop_valid,shop_proof,shop_proof_method,email,email_source,email_verified,bio_url,bio,profile_url,source_url,fastmoss_units_sold,fastmoss_gmv,fastmoss_seller_id
unapaisaenespana,,,tikhub_search,,,,,,,,,,,,,,,,,,
areiavv,,,tikhub_search,,,,,,,,,,,,,,,,,,
clauddelay,,,tikhub_search,,,,,,,,,,,,,,,,,,
zoeplunder,,,tikhub_search,,,,,,,,,,,,,,,,,,
entrepreneusedafrique,,,tikhub_search,,,,,,,,,,,,,,,,,,
ellza.co,,,tikhub_search,,,,,,,,,,,,,,,,,,
shophousemedia,,,tikhub_search,,,,,,,,,,,,,,,,,,
nahnah.fr,,,tikhub_search,,,,,,,,,,,,,,,,,,
mimipepites,,,tikhub_search,,,,,,,,,,,,,,,,,,
teachmejemi,,,tikhub_search,,,,,,,,,,,,,,,,,,
zahir_dahmani,,,tikhub_search,,,,,,,,,,,,,,,,,,
jedees500k,,,tikhub_search,,,,,,,,,,,,,,,,,,
partenaire.croissance,,,tikhub_search,,,,,,,,,,,,,,,,,,
melissa_plante,,,tikhub_search,,,,,,,,,,,,,,,,,,
seaserenity30,,,tikhub_search,,,,,,,,,,,,,,,,,,
mica.460,,,tikhub_search,,,,,,,,,,,,,,,,,,
ouafaeelkhotri,,,tikhub_search,,,,,,,,,,,,,,,,,,
tiktokshop_fr,,,tikhub_search,,,,,,,,,,,,,,,,,,
conseils.avis,,,tikhub_search,,,,,,,,,,,,,,,,,,
h6av1qxnr1,,,tikhub_search,,,,,,,,,,,,,,,,,,
royal_mds,,,tikhub_search,,,,,,,,,,,,,,,,,,
lmksolutions,,,tikhub_search,,,,,,,,,,,,,,,,,,
md_citerose,,,tikhub_search,,,,,,,,,,,,,,,,,,
c7uzud8z95,,,tikhub_search,,,,,,,,,,,,,,,,,,
lolyta.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
haasavocats,,,tikhub_search,,,,,,,,,,,,,,,,,,
borakom.toys,,,tikhub_search,,,,,,,,,,,,,,,,,,
digbyagency,,,tikhub_search,,,,,,,,,,,,,,,,,,
vumagazine,,,tikhub_search,,,,,,,,,,,,,,,,,,
affilae,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcby.noaa,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc.andreita,,,tikhub_search,,,,,,,,,,,,,,,,,,
jess.perusse,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcbylae,,,tikhub_search,,,,,,,,,,,,,,,,,,
flora_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
chloemadestudio,,,tikhub_search,,,,,,,,,,,,,,,,,,
mpdigital.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc.tifanyoussal,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc.empireacademy,,,tikhub_search,,,,,,,,,,,,,,,,,,
studiowithclem,,,tikhub_search,,,,,,,,,,,,,,,,,,
paulineugc6,,,tikhub_search,,,,,,,,,,,,,,,,,,
blm.marion,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcbylucile,,,tikhub_search,,,,,,,,,,,,,,,,,,
its.ugcwithaly,,,tikhub_search,,,,,,,,,,,,,,,,,,
thuanmm,,,tikhub_search,,,,,,,,,,,,,,,,,,
createwithquentin,,,tikhub_search,,,,,,,,,,,,,,,,,,
stephanielbnn,,,tikhub_search,,,,,,,,,,,,,,,,,,
sonia.crvl,,,tikhub_search,,,,,,,,,,,,,,,,,,
linstantmarketing,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcbylorenzo,,,tikhub_search,,,,,,,,,,,,,,,,,,
fannyugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
julie.ugc.stratege,,,tikhub_search,,,,,,,,,,,,,,,,,,
mathilde_ugccreator,,,tikhub_search,,,,,,,,,,,,,,,,,,
beccaugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
studiowithlou,,,tikhub_search,,,,,,,,,,,,,,,,,,
elisaaa.mrc,,,tikhub_search,,,,,,,,,,,,,,,,,,
lisapoupotugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
sarahharlepro,,,tikhub_search,,,,,,,,,,,,,,,,,,
contentbyeva,,,tikhub_search,,,,,,,,,,,,,,,,,,
seb.ugc83,,,tikhub_search,,,,,,,,,,,,,,,,,,
lunitacademy.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
merveille.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
noa.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
laudysdaie,,,tikhub_search,,,,,,,,,,,,,,,,,,
lena.ugc.expert,,,tikhub_search,,,,,,,,,,,,,,,,,,
carlyugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
lisapowher,,,tikhub_search,,,,,,,,,,,,,,,,,,
villagepeopaul,,,tikhub_search,,,,,,,,,,,,,,,,,,
arianasaplana,,,tikhub_search,,,,,,,,,,,,,,,,,,
marilyn_creatrice_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
mc.boucard,,,tikhub_search,,,,,,,,,,,,,,,,,,
letmaugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
studiorb.co,,,tikhub_search,,,,,,,,,,,,,,,,,,
digital.entrepreneuse,,,tikhub_search,,,,,,,,,,,,,,,,,,
alexandra_vrrn,,,tikhub_search,,,,,,,,,,,,,,,,,,
bonzengaparis,,,tikhub_search,,,,,,,,,,,,,,,,,,
clairegodard_,,,tikhub_search,,,,,,,,,,,,,,,,,,
madebymath,,,tikhub_search,,,,,,,,,,,,,,,,,,
marylin_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
manon_ugc_,,,tikhub_search,,,,,,,,,,,,,,,,,,
khiara020,,,tikhub_search,,,,,,,,,,,,,,,,,,
leanna.richandglowy,,,tikhub_search,,,,,,,,,,,,,,,,,,
jadetlm,,,tikhub_search,,,,,,,,,,,,,,,,,,
camcamm.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
justelisa_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
audreym.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
angeleugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
noorontheway_,,,tikhub_search,,,,,,,,,,,,,,,,,,
ccbeauty.paris,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcbymarinette,,,tikhub_search,,,,,,,,,,,,,,,,,,
megan_creatorugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
tiktoire,,,tikhub_search,,,,,,,,,,,,,,,,,,
emmalyneview,,,tikhub_search,,,,,,,,,,,,,,,,,,
pxpou,,,tikhub_search,,,,,,,,,,,,,,,,,,
agathenomoneyy,,,tikhub_search,,,,,,,,,,,,,,,,,,
valentine_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
dina.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
